agency, firename, lat, lon, startdate, hectares, stage_of_control
bc, G91083, 57.6128, -123.773, 2021-06-30 12:00:00, 20, BH
bc, G61316, 56.2893, -125.502, 2021-07-02 12:00:00, 500, OC
bc, K51040, 49.9778, -118.962, 2021-06-29 12:00:00, 60, BH
bc, K41357, 50.8178, -119.235, 2021-07-03 12:00:00, 0.009, UC
bc, C41395, 51.9179, -120.897, 2021-07-04 12:00:00, 31, New
bc, C41416, 51.2542, -120.884, 2021-07-04 12:00:00, 13, New
bc, N41258, 51.2651, -117.829, 2021-07-02 12:00:00, 0.1, BH
bc, C41412, 51.2423, -120.905, 2021-07-04 12:00:00, 1.5, New
bc, G91065, 59.5576, -120.536, 2021-06-30 12:00:00, 3, BH
bc, G71285, 55.3139, -121.619, 2021-07-02 12:00:00, 0.009, OC
bc, C41100, 51.7593, -120.86, 2021-06-30 12:00:00, 300, Fire of Note
bc, C41108, 51.865, -121.075, 2021-06-30 12:00:00, 0.009, UC
bc, N21307, 50.5203, -115.767, 2021-07-02 12:00:00, 1.5, OC
bc, K21301, 50.8042, -121.487, 2021-07-02 12:00:00, 0.3, UC
bc, K21351, 50.5525, -120.335, 2021-07-03 12:00:00, 0, OC
bc, N51400, 50.7129, -117.753, 2021-07-04 12:00:00, 0.009, New
bc, K21001, 50.9045, -120.812, 2021-06-28 12:00:00, 36300, Fire of Note
bc, G71323, 55.3176, -121.617, 2021-07-02 12:00:00, 0.009, OC
bc, C41177, 51.6755, -120.805, 2021-07-01 12:00:00, 17, OC
bc, G61266, 55.102, -122.895, 2021-07-02 12:00:00, 36, Fire of Note
bc, K21327, 50.7316, -119.856, 2021-07-02 12:00:00, 6, OC
bc, R51428, 54.1848, -128.15, 2021-07-04 12:00:00, 0.002, New
bc, C41097, 51.2125, -120.923, 2021-06-30 12:00:00, 166, OC
bc, C41091, 51.4694, -121.174, 2021-06-30 12:00:00, 1.5, OC
bc, C11189, 53.0491, -124.584, 2021-07-01 12:00:00, 10.5, BH
bc, C11190, 53.2861, -123.229, 2021-07-01 12:00:00, 3, BH
bc, G61192, 55.7882, -124.543, 2021-07-01 12:00:00, 30, OC
bc, C41191, 51.9057, -120.841, 2021-07-01 12:00:00, 350, OC
bc, N71279, 50.5897, -117.049, 2021-07-02 12:00:00, 5, OC
bc, G71324, 55.0177, -121.857, 2021-07-02 12:00:00, 0.5, OC
bc, C41145, 51.6619, -120.931, 2021-07-01 12:00:00, 28.5, OC
bc, G41269, 53.5995, -124.814, 2021-07-02 12:00:00, 200, OC
bc, C41102, 51.5793, -120.868, 2021-06-30 12:00:00, 300, Fire of Note
bc, VA1434, 52.3941, -126.703, 2021-07-04 12:00:00, 0.009, New
bc, G71437, 55.7737, -120.818, 2021-07-04 12:00:00, 0.001, New
bc, G91042, 59.4317, -120.287, 2021-06-29 12:00:00, 2, BH
bc, K21239, 50.4486, -120.363, 2021-07-02 12:00:00, 0.5, UC
bc, K71236, 50.7331, -122.295, 2021-07-02 12:00:00, 0.05, UC
bc, G11194, 54.723, -122.639, 2021-07-01 12:00:00, 0.45, UC
bc, G61199, 56.3872, -125.027, 2021-07-01 12:00:00, 30, OC
bc, G51212, 55.0726, -125.249, 2021-07-01 12:00:00, 15, BH
bc, N41449, 51.6178, -118.675, 2021-07-05 12:00:00, 0.3, New
bc, K51450, 49.7947, -118.814, 2021-07-05 12:00:00, 0.009, New
bc, N71379, 49.817, -116.925, 2021-07-04 12:00:00, 0.26, UC
bc, K21380, 50.7464, -120.306, 2021-07-04 12:00:00, 5, OC
bc, G61381, 56.787, -125.711, 2021-07-04 12:00:00, 70, OC
bc, C21250, 51.43, -122.237, 2021-07-02 12:00:00, 1287, Fire of Note
bc, K41384, 50.6033, -118.572, 2021-07-04 12:00:00, 1.1, OC
bc, K21329, 50.9909, -120.172, 2021-07-02 12:00:00, 0.009, UC
bc, R21410, 54.3463, -127.379, 2021-07-04 12:00:00, 0.01, New
bc, N11286, 49.3827, -116.039, 2021-07-02 12:00:00, 19, BH
bc, N71454, 49.9295, -116.955, 2021-07-05 12:00:00, 0.009, New
bc, N21452, 50.0562, -115.801, 2021-07-05 12:00:00, 0.02, New
bc, K51453, 49.0733, -119.554, 2021-07-05 12:00:00, 0.009, New
bc, C41308, 51.4883, -121.091, 2021-07-02 12:00:00, 27, Fire of Note
bc, R31439, 54.6458, -127.368, 2021-07-04 12:00:00, 0.009, New
bc, R31444, 54.7428, -127.435, 2021-07-04 12:00:00, 0.009, New
bc, K71448, 51.041, -122.884, 2021-07-04 12:00:00, 0.24, New
bc, K61292, 50.0384, -120.264, 2021-07-02 12:00:00, 0.7, UC
bc, K21296, 50.6977, -120.182, 2021-07-02 12:00:00, 6.2, BH
bc, N11282, 49.6074, -116.584, 2021-07-02 12:00:00, 0.8, UC
bc, V31386, 50.523, -122.497, 2021-07-04 12:00:00, 0.23, UC
bc, K21389, 51.6549, -119.59, 2021-07-04 12:00:00, 0.009, OC
bc, K21385, 50.7925, -119.941, 2021-07-04 12:00:00, 0.009, OC
bc, R51445, 56.8116, -129.951, 2021-07-04 12:00:00, 0.009, New
